agency_id,agency_name,agency_url,agency_timezone,agency_lang,date_opened,date_closed,agency_note
adrian_and_blissfield_rail_road_company,Adrian and Blissfield Rail Road Company,https://railroads.unl.edu/,America/New_York,en,18400101,,states: Michigan
agricultural,Agricultural,https://railroads.unl.edu/,America/New_York,en,18610101,,"2012 successor: CSX Transportation, Incorporated; states: New Jersey"
agusta_and_savanna,Agusta and Savanna,https://railroads.unl.edu/,America/New_York,en,18400101,,"states: Georgia, South Carolina"
alabama_and_florida,Alabama and Florida,https://railroads.unl.edu/,America/New_York,en,18400101,,"2012 successor: CSX Transportation, Incorporated; states: Alabama"
alabama_and_mississippi_rivers,Alabama and Mississippi Rivers,https://railroads.unl.edu/,America/New_York,en,18610101,,2012 successor: Norfolk Southern Railway Company; states: Alabama
alabama_and_tennesee_rivers,Alabama and Tennesee Rivers,https://railroads.unl.edu/,America/New_York,en,18610101,,2012 successor: Norfolk Southern Railway Company; states: Alabama
alabama_and_tennessee_river,Alabama and Tennessee River,https://railroads.unl.edu/,America/New_York,en,18610101,,2012 successor: Norfolk Southern Railway Company; states: Alabama
albany_and_vermont,Albany and Vermont,https://railroads.unl.edu/,America/New_York,en,18400101,,"2012 successor: Canadian Pacific Railway; states: New York, Vermont"
alexandria_and_cheyneyville,Alexandria and Cheyneyville,https://railroads.unl.edu/,America/New_York,en,18400101,,2012 successor: Kansas City Southern Railway Company; states: Louisiana
alexandria_and_leesburg,Alexandria and Leesburg,https://railroads.unl.edu/,America/New_York,en,18610101,,states: Virginia
allegheny_valley,Allegheny Valley,https://railroads.unl.edu/,America/New_York,en,18550101,,2012 successor: Norfolk Southern Railway Company; states: Pennsylvania
alton_and_east_st_louis,Alton and East St. Louis,https://railroads.unl.edu/,America/New_York,en,18550101,,2012 successor: Norfolk Southern Railway Company; states: Illinois
amherst_belchertown_and_palmer,"Amherst, Belchertown and Palmer",https://railroads.unl.edu/,America/New_York,en,18500101,,"2012 successor: New England Central Railroad, Incorporated; states: Masachusetts"
androscoggin,Androscoggin,https://railroads.unl.edu/,America/New_York,en,18500101,,states: Maine
annapolis_and_elkridge,Annapolis and Elkridge,https://railroads.unl.edu/,America/New_York,en,18450101,,states: Maryland
