from_stop_id,to_stop_id,route_id,date_opened,date_closed,evidence,line_name
n00001,n00002,boston_and_lowell,18400101,,dated_line,Boston and Lowell
n00002,n00003,boston_and_lowell,18400101,,dated_line,Boston and Lowell
n00003,n00004,boston_and_lowell,18400101,,dated_line,Boston and Lowell
n00004,n00005,boston_and_lowell,18400101,,dated_line,Boston and Lowell
n00007,n00006,boston_and_maine,18400101,,dated_line,Boston and Maine
n00006,n00008,boston_and_maine,18400101,,dated_line,Boston and Maine
n00010,n00006,fitchburg,18400101,,dated_line,Fitchburg
n00005,n00010,fitchburg,18400101,,dated_line,Fitchburg
n00011,n00005,fitchburg,18400101,,dated_line,Fitchburg
n00012,n00011,boston_and_worcester,18400101,,dated_line,Boston and Worcester
n00012,n00013,boston_and_worcester,18400101,,dated_line,Boston and Worcester
n00014,n00012,boston_and_worcester,18400101,,dated_line,Boston and Worcester
n00015,n00014,boston_and_worcester,18400101,,dated_line,Boston and Worcester
n00016,n00015,boston_and_worcester,18400101,,dated_line,Boston and Worcester
n00017,n00016,boston_and_worcester,18400101,,dated_line,Boston and Worcester
n00018,n00017,boston_and_worcester,18400101,,dated_line,Boston and Worcester
n00019,n00018,boston_and_worcester,18400101,,dated_line,Boston and Worcester
n00013,n00020,boston_and_providence,18400101,,dated_line,Boston and Providence
n00021,n00022,boston_and_providence,18400101,,dated_line,Boston and Providence
n00024,n00023,boston_and_providence,18400101,,dated_line,Boston and Providence
n00025,n00021,boston_and_providence,18400101,,dated_line,Boston and Providence
n00023,n00025,boston_and_providence,18400101,,dated_line,Boston and Providence
n00026,n00027,rensselaer_and_saratoga,18400101,,dated_line,Rensselaer and Saratoga
n00028,n00026,rensselaer_and_saratoga,18400101,,dated_line,Rensselaer and Saratoga
n00029,n00030,new_york_central,18400101,,dated_line,New York Central
n00030,n00028,new_york_central,18400101,,dated_line,New York Central
n00031,n00029,new_york_central,18400101,,dated_line,New York Central
n00032,n00033,new_york_central,18400101,,dated_line,New York Central
n00034,n00031,new_york_central,18400101,,dated_line,New York Central
n00035,n00034,new_york_central,18400101,,dated_line,New York Central
n00036,n00037,new_york_central,18400101,,dated_line,New York Central
n00039,n00038,new_york_central,18400101,,dated_line,New York Central
n00040,n00039,new_york_central,18400101,,dated_line,New York Central
n00038,n00041,new_york_central,18400101,,dated_line,New York Central
n00041,n00036,new_york_central,18400101,,dated_line,New York Central
n00042,n00040,new_york_central,18400101,,dated_line,New York Central
