route_id,agency_id,valid_from,valid_to,source,confidence
adrian_and_blissfield_rail_road_company,adrian_and_blissfield_rail_road_company,18400101,,RRMMA NAME field,low
agricultural,agricultural,18610101,,RRMMA NAME field,high
agusta_and_savanna,agusta_and_savanna,18400101,,RRMMA NAME field,high
alabama_and_florida,alabama_and_florida,18400101,,RRMMA NAME field,high
alabama_and_mississippi_rivers,alabama_and_mississippi_rivers,18610101,,RRMMA NAME field,high
alabama_and_tennesee_rivers,alabama_and_tennesee_rivers,18610101,,RRMMA NAME field,high
alabama_and_tennessee_river,alabama_and_tennessee_river,18610101,,RRMMA NAME field,high
albany_and_vermont,albany_and_vermont,18400101,,RRMMA NAME field,high
alexandria_and_cheyneyville,alexandria_and_cheyneyville,18400101,,RRMMA NAME field,high
alexandria_and_leesburg,alexandria_and_leesburg,18610101,,RRMMA NAME field,high
allegheny_valley,allegheny_valley,18550101,,RRMMA NAME field,high
alton_and_east_st_louis,alton_and_east_st_louis,18550101,,RRMMA NAME field,high
amherst_belchertown_and_palmer,amherst_belchertown_and_palmer,18500101,,RRMMA NAME field,high
androscoggin,androscoggin,18500101,,RRMMA NAME field,high
annapolis_and_elkridge,annapolis_and_elkridge,18450101,,RRMMA NAME field,high
ashuelot,ashuelot,18500101,,RRMMA NAME field,high
atlanta_and_west_point,atlanta_and_west_point,18500101,,RRMMA NAME field,high
atlantic_and_great_western,atlantic_and_great_western,18610101,,RRMMA NAME field,high
atlantic_and_north_carolina,atlantic_and_north_carolina,18610101,,RRMMA NAME field,high
baltimore_and_ohio,baltimore_and_ohio,18400101,,RRMMA NAME field,high
bangor_old_town_and_milford,bangor_old_town_and_milford,18550101,,RRMMA NAME field,high
barclay,barclay,18610101,,RRMMA NAME field,high
baton_rouge_grosse_tete_and_opelousas,baton_rouge_grosse_tete_and_opelousas,18700101,,RRMMA NAME field,high
bay_colony_railroad_corporation,bay_colony_railroad_corporation,18450101,,RRMMA NAME field,low
beaver_meadow,beaver_meadow,18550101,,RRMMA NAME field,high
bellefontaine_line,bellefontaine_line,18400101,,RRMMA NAME field,high
bellefonte_and_snow_shoe,bellefonte_and_snow_shoe,18610101,,RRMMA NAME field,high
belleville_and_illinoistown,belleville_and_illinoistown,18610101,,RRMMA NAME field,high
beloit_and_madison,beloit_and_madison,18500101,,RRMMA NAME field,high
beloit_and_madison_railroad,beloit_and_madison_railroad,18700101,,RRMMA NAME field,high
