route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,date_opened,date_closed
adrian_and_blissfield_rail_road_company,adrian_and_blissfield_rail_road_company,,Adrian and Blissfield Rail Road Company,"Gauge 4' 8.5""; in Michigan; observed 1840,1845,1850,1855,1861,1870",1405,5E809D,18400101,
agricultural,agricultural,,Agricultural,"Gauge 4' 10""; in New Jersey; observed 1861,1870",1405,A46183,18610101,
agusta_and_savanna,agusta_and_savanna,,Agusta and Savanna,"Gauge 5' 0""; in Georgia, South Carolina; observed 1840,1845,1850,1855,1861,1870",1405,C7474E,18400101,
alabama_and_florida,alabama_and_florida,,Alabama and Florida,"Gauge 5' 0""; in Alabama; observed 1840,1850,1861,1870",1405,9059CF,18400101,
alabama_and_mississippi_rivers,alabama_and_mississippi_rivers,,Alabama and Mississippi Rivers,"Gauge 5' 0""; in Alabama; observed 1861,1870",1405,C06F95,18610101,
alabama_and_tennesee_rivers,alabama_and_tennesee_rivers,,Alabama and Tennesee Rivers,"Gauge 5' 0""; in Alabama; observed 1861,1870",1405,687E57,18610101,
alabama_and_tennessee_river,alabama_and_tennessee_river,,Alabama and Tennessee River,"Gauge 5' 0""; in Alabama; observed 1861,1870",1405,903F9D,18610101,
albany_and_vermont,albany_and_vermont,,Albany and Vermont,"Gauge 4' 8.5""; in New York, Vermont; observed 1840,1845,1850,1855,1861,1870",1405,BD41B9,18400101,
alexandria_and_cheyneyville,alexandria_and_cheyneyville,,Alexandria and Cheyneyville,"Gauge 5' 6""; in Louisiana; observed 1840,1845,1850,1855,1861,1870",1405,3EC08B,18400101,
alexandria_and_leesburg,alexandria_and_leesburg,,Alexandria and Leesburg,"Gauge 4' 8.5""; in Virginia; observed 1861,1870",1405,438B57,18610101,
allegheny_valley,allegheny_valley,,Allegheny Valley,"Gauge 4' 8.5""; in Pennsylvania; observed 1855,1861,1870",1405,598893,18550101,
alton_and_east_st_louis,alton_and_east_st_louis,,Alton and East St. Louis,"Gauge 4' 8.5""; in Illinois; observed 1855,1861,1870",1405,C49187,18550101,
amherst_belchertown_and_palmer,amherst_belchertown_and_palmer,,"Amherst, Belchertown and Palmer","Gauge 4' 8.5""; in Masachusetts; observed 1850,1855,1861,1870",1405,85BA42,18500101,
androscoggin,androscoggin,,Androscoggin,"Gauge 5' 6""; in Maine; observed 1850,1861,1870",1405,648ED0,18500101,
annapolis_and_elkridge,annapolis_and_elkridge,,Annapolis and Elkridge,"Gauge 4' 8.5""; in Maryland; observed 1845,1850,1855,1861,1870",1405,8B4A77,18450101,
ashuelot,ashuelot,,Ashuelot,"Gauge 4' 8.5""; in New Hampshire; observed 1850,1855,1861,1870",1405,97853D,18500101,
atlanta_and_west_point,atlanta_and_west_point,,Atlanta and West Point,"Gauge 5' 0""; in Georgia; observed 1850,1855,1861,1870",1405,43CF3E,18500101,
atlantic_and_great_western,atlantic_and_great_western,,Atlantic and Great Western,"Gauge 6' 0""; in New York; observed 1861,1870",1405,906869,18610101,
atlantic_and_north_carolina,atlantic_and_north_carolina,,Atlantic and North Carolina,"Gauge 4' 8.5""; in North Carolina; observed 1861,1870",1405,66824A,18610101,
baltimore_and_ohio,baltimore_and_ohio,,Baltimore and Ohio,"Gauge 4' 8.5""; in Maryland, West Virginia; observed 1840,1845,1850,1855,1861,1870",1405,489F5D,18400101,
bangor_old_town_and_milford,bangor_old_town_and_milford,,"Bangor, Old Town and Milford","Gauge 4' 8.5""; in Maine; observed 1855,1861,1870",1405,80BA5A,18550101,
barclay,barclay,,Barclay,"Gauge 4' 8.5""; in Pennsylvania; observed 1861,1870",1405,A192CC,18610101,
baton_rouge_grosse_tete_and_opelousas,baton_rouge_grosse_tete_and_opelousas,,"Baton Rouge, Grosse Tete and Opelousas","Gauge 5' 6""; in Louisiana; observed 1870",1405,4CBB6A,18700101,
bay_colony_railroad_corporation,bay_colony_railroad_corporation,,Bay Colony Railroad Corporation,"Gauge 4' 8.5""; in Masachusetts; observed 1845,1850,1855,1861,1870",1405,5D588F,18450101,
beaver_meadow,beaver_meadow,,Beaver Meadow,"Gauge 4' 8.5""; in Pennsylvania; observed 1855,1861,1870",1405,909F7B,18550101,
bellefontaine_line,bellefontaine_line,,Bellefontaine Line,"Gauge 4' 10""; in Indiana, Ohio; observed 1840,1850,1855,1861,1870",1405,B1703F,18400101,
bellefonte_and_snow_shoe,bellefonte_and_snow_shoe,,Bellefonte and Snow Shoe,"Gauge 4' 8.5""; in Pennsylvania; observed 1861,1870",1405,9A898C,18610101,
belleville_and_illinoistown,belleville_and_illinoistown,,Belleville and Illinoistown,"Gauge 4' 8.5""; in Illinois; observed 1861,1870",1405,8CADA8,18610101,
beloit_and_madison,beloit_and_madison,,Beloit and Madison,"Gauge 4' 8.5""; in Illinois; observed 1850,1855,1861,1870",1405,81B071,18500101,
beloit_and_madison_railroad,beloit_and_madison_railroad,,Beloit and Madison Railroad,"Gauge 4' 8.5""; in Wisconsin; observed 1870",1405,7E9250,18700101,
belvidere_and_delaware,belvidere_and_delaware,,Belvidere and Delaware,"Gauge 4' 10""; in New Jersey; observed 1855,1861,1870",1405,7B579A,18550101,
black_river_and_utica,black_river_and_utica,,Black River and Utica,"Gauge 4' 8.5""; in New York; observed 1861,1870",1405,529DC5,18610101,
blairsville_and_indiana,blairsville_and_indiana,,Blairsville and Indiana,"Gauge 4' 8.5""; in Pennsylvania; observed 1861,1870",1405,5BAB96,18610101,
blue_ridge,blue_ridge,,Blue Ridge,"Gauge 5' 0""; in South Carolina; observed 1850,1855,1861,1870",1405,7078A2,18500101,
boston_and_lowell,boston_and_lowell,,Boston and Lowell,"Gauge 4' 8.5""; in Masachusetts; observed 1840,1845,1850,1855,1861,1870",1405,8B847B,18400101,
boston_and_maine,boston_and_maine,,Boston and Maine,"Gauge 4' 8.5""; in Masachusetts, New Hampshire; observed 1840,1845,1850,1855,1861,1870",1405,3E9A9A,18400101,
boston_and_providence,boston_and_providence,,Boston and Providence,"Gauge 4' 8.5""; in Masachusetts, Rhode Island; observed 1840,1845,1850,1855,1861,1870",1405,867B47,18400101,
boston_and_worcester,boston_and_worcester,,Boston and Worcester,"Gauge 4' 8.5""; in Masachusetts; observed 1840,1845,1850,1855,1861,1870",1405,9F3C64,18400101,
boston_and_worchester,boston_and_worchester,,Boston and Worchester,"Gauge 4' 8.5""; in Masachusetts; observed 1855,1861,1870",1405,A29656,18550101,
boston_concord_and_montreal,boston_concord_and_montreal,,"Boston, Concord and Montreal","Gauge 4' 8.5""; in New Hampshire; observed 1845,1850,1855,1861,1870",1405,D1A8CB,18450101,
brunswick_and_florida,brunswick_and_florida,,Brunswick and Florida,"Gauge 5' 0""; in Georgia; observed 1861,1870",1405,957448,18610101,
buffalo_bayou_brazos_and_colorado,buffalo_bayou_brazos_and_colorado,,"Buffalo Bayou, Brazos and Colorado","Gauge 4' 8.5""; in Texas; observed 1861,1870",1405,59A0CA,18610101,
buffalo_corning_and_new_york,buffalo_corning_and_new_york,,"Buffalo, Corning and New York","Gauge 6' 0""; in New York; observed 1850,1855,1861,1870",1405,61A185,18500101,
buffalo_new_york_and_erie,buffalo_new_york_and_erie,,"Buffalo, New York and Erie","Gauge 6' 0""; in New York; observed 1845,1850,1855,1861,1870",1405,629044,18450101,
buffalo_niagara_falls_and_lewiston,buffalo_niagara_falls_and_lewiston,,"Buffalo, Niagara Falls and Lewiston","Gauge 4' 8.5""; in New York; observed 1840,1845,1850,1855,1861,1870",1405,3ECD9C,18400101,
burlingon_and_missouri,burlingon_and_missouri,,Burlingon and Missouri,"Gauge 4' 8.5""; in Iowa; observed 1861,1870",1405,575150,18610101,
burlington_and_missouri,burlington_and_missouri,,Burlington and Missouri,"Gauge 4' 8.5""; in Iowa; observed 1861,1870",1405,6F7772,18610101,
burlington_northern_and_santa_fe_railway_company,burlington_northern_and_santa_fe_railway_company,,Burlington Northern and Santa Fe Railway Company,"Gauge 4' 8.5""; in Illinois; observed 1861,1870",1405,A05943,18610101,
cairo_and_fulton,cairo_and_fulton,,Cairo and Fulton,"Gauge 5' 6""; in Missouri; observed 1861,1870",1405,74546D,18610101,
calais_and_baring,calais_and_baring,,Calais and Baring,"Gauge 4' 8.5""; in Maine; observed 1855,1861,1870",1405,7C7D5D,18550101,
california_northern_railroad_company,california_northern_railroad_company,,California Northern Railroad Company,observed 1870,1405,4E6B44,18700101,
caltrain,caltrain,,Caltrain,observed 1870,1405,A89486,18700101,
camden_and_amboy,camden_and_amboy,,Camden and Amboy,"Gauge 4' 10""; in New Jersey; observed 1840,1845,1850,1855,1861,1870",1405,859A51,18400101,
camden_and_atlantic,camden_and_atlantic,,Camden and Atlantic,"Gauge 4' 10""; in New Jersey; observed 1840,1845,1850,1855,1861,1870",1405,7F4C4D,18400101,
canadian_pacific_railway,canadian_pacific_railway,,Canadian Pacific Railway,"Gauge 4' 8.5""; in Wisconsin; observed 1861",1405,665A83,18610101,
cape_cod,cape_cod,,Cape Cod,"Gauge 4' 8.5""; in Masachusetts; observed 1850,1855,1861,1870",1405,4B6F96,18500101,
carrollton_and_oneida,carrollton_and_oneida,,Carrollton and Oneida,"Gauge 4' 10""; in Ohio; observed 1850,1861,1870",1405,8293C1,18500101,
catawissa_williamsport_and_elmira,catawissa_williamsport_and_elmira,,"Catawissa, Williamsport and Elmira","Gauge 4' 8.5""; in Pennsylvania; observed 1850,1855,1861,1870",1405,4DB5B9,18500101,
cayuga_and_susquehanna,cayuga_and_susquehanna,,Cayuga and Susquehanna,"Gauge 6' 0""; in New York; observed 1840,1845,1850,1855,1861,1870",1405,5C706D,18400101,
centeral_branch_union_pacific,centeral_branch_union_pacific,,Centeral Branch Union Pacific,observed 1870,1405,856F83,18700101,
central_georgia,central_georgia,,Central Georgia,"Gauge 5' 0""; in Georgia; observed 1840,1845,1850,1855,1861,1870",1405,589264,18400101,
central_ohio,central_ohio,,Central Ohio,"Gauge 4' 10""; in Ohio; observed 1850,1855,1861,1870",1405,818CB1,18500101,
charleston_and_savannah,charleston_and_savannah,,Charleston and Savannah,"Gauge 5' 0""; in Georgia, South Carolina; observed 1840,1845,1850,1855,1861,1870",1405,834A94,18400101,
charlotte_and_south_carolina,charlotte_and_south_carolina,,Charlotte and South Carolina,"Gauge 5' 0""; in North Carolina, South Carolina; observed 1840,1845,1850,1855,1861,1870",1405,816190,18400101,
chemung,chemung,,Chemung,"Gauge 6' 0""; in New York; observed 1850,1855,1861,1870",1405,AF66A1,18500101,
cheraw_and_darlington,cheraw_and_darlington,,Cheraw and Darlington,"Gauge 5' 0""; in South Carolina; observed 1861,1870",1405,3DB4A1,18610101,
cheshire,cheshire,,Cheshire,"Gauge 4' 8.5""; in Masachusetts, New Hampshire, Vermont; observed 1840,1845,1850,1855,1861,1870",1405,74BBCB,18400101,
chicago_and_milwaukee,chicago_and_milwaukee,,Chicago and Milwaukee,"Gauge 4' 8.5""; in Illinois, Wisconsin; observed 1855,1861,1870",1405,416A59,18550101,
chicago_and_north_western,chicago_and_north_western,,Chicago and North Western,"Gauge 4' 8.5""; in Illinois, WI, Wisconsin; observed 1845,1850,1855,1861,1870",1405,6F6585,18450101,
chicago_and_north_western_railway,chicago_and_north_western_railway,,Chicago and North Western Railway,"Gauge 4' 8.5""; in Illinois, Wisconsin; observed 1870",1405,A5CDAD,18700101,
chicago_and_rock_island,chicago_and_rock_island,,Chicago and Rock Island,"Gauge 4' 8.5""; in Illinois; observed 1840,1850,1855,1861,1870",1405,7BA19C,18400101,
chicago_burlington_and_quincy,chicago_burlington_and_quincy,,"Chicago, Burlington and Quincy","Gauge 4' 8.5""; in Illinois; observed 1840,1845,1850,1855,1861,1870",1405,5179AF,18400101,
chicago_iowa_and_nebraska,chicago_iowa_and_nebraska,,"Chicago, Iowa and Nebraska","Gauge 4' 8.5""; in Iowa; observed 1861,1870",1405,C99F6D,18610101,
chicago_milwaukee_st_paul_railroad,chicago_milwaukee_st_paul_railroad,,"Chicago, Milwaukee & St. Paul Railroad",observed 1870,1405,8B6E47,18700101,
chicago_northwest_railroad,chicago_northwest_railroad,,Chicago & Northwest Railroad,in WI; observed 1870,1405,5B7A64,18700101,
cincinnati_and_chicago,cincinnati_and_chicago,,Cincinnati and Chicago,"Gauge 4' 10""; in Indiana; observed 1850,1855,1861,1870",1405,4AC469,18500101,
cincinnati_and_indianapolis_junction,cincinnati_and_indianapolis_junction,,Cincinnati and Indianapolis Junction,"Gauge 4' 10""; in Indiana, Ohio; observed 1850,1855,1861,1870",1405,9F94BF,18500101,
cincinnati_and_martinsville,cincinnati_and_martinsville,,Cincinnati and Martinsville,"Gauge 4' 8.5""; in Indiana; observed 1850,1855,1861,1870",1405,85A6A1,18500101,
cincinnati_eaton_and_richmond,cincinnati_eaton_and_richmond,,"Cincinnati, Eaton and Richmond","Gauge 4' 10""; in Indiana, Ohio; observed 1850,1855,1861,1870",1405,5E4A57,18500101,
cincinnati_hamilton_and_dayton,cincinnati_hamilton_and_dayton,,"Cincinnati, Hamilton and Dayton","Gauge 4' 10""; in Ohio; observed 1850,1855,1861,1870",1405,8C5EBF,18500101,
cincinnati_peru_and_chicago,cincinnati_peru_and_chicago,,"Cincinnati, Peru and Chicago","Gauge 4' 8.5""; in Indiana; observed 1861,1870",1405,7A4BB6,18610101,
cincinnati_wilmington_and_zanesville,cincinnati_wilmington_and_zanesville,,"Cincinnati, Wilmington and Zanesville","Gauge 4' 10""; in Ohio; observed 1850,1855,1861,1870",1405,81867D,18500101,
cisco_northeastern_railroad,cisco_northeastern_railroad,,Cisco & Northeastern Railroad,observed 1870,1405,5E949C,18700101,
city_of_columbia_d_b_a_columbia_terminal,city_of_columbia_d_b_a_columbia_terminal,,"City of Columbia, d/b/a Columbia Terminal",observed 1870,1405,826F76,18700101,
cleveland_and_mahoning,cleveland_and_mahoning,,Cleveland and Mahoning,"Gauge 4' 8.5""; in Ohio; observed 1850,1855,1861,1870",1405,6E6ACC,18500101,
cleveland_and_pittsburgh,cleveland_and_pittsburgh,,Cleveland and Pittsburgh,"Gauge 4' 10""; in Ohio, Pennsylvania; observed 1850,1855,1861,1870",1405,925E6D,18500101,
cleveland_and_toledo,cleveland_and_toledo,,Cleveland and Toledo,"Gauge 4' 8.5""; in Ohio; observed 1840,1845,1850,1855,1861,1870",1405,866570,18400101,
cleveland_columbus_and_cincinnati,cleveland_columbus_and_cincinnati,,"Cleveland, Columbus and Cincinnati","Gauge 4' 10""; in Ohio; observed 1850,1855,1861,1870",1405,B69EB6,18500101,
cleveland_painesville_and_ashtabula,cleveland_painesville_and_ashtabula,,"Cleveland, Painesville and Ashtabula","Gauge 4' 10""; in Ohio, Pennsylvania; observed 1845,1850,1855,1861,1870",1405,9DCB4B,18450101,
cleveland_zanesville_and_cincinnati,cleveland_zanesville_and_cincinnati,,"Cleveland, Zanesville and Cincinnati","Gauge 4' 10""; in Ohio; observed 1850,1855,1861,1870",1405,786A5B,18500101,
clinton_and_port_hudson,clinton_and_port_hudson,,Clinton and Port Hudson,"Gauge 4' 8.5""; in Louisiana; observed 1855,1861,1870",1405,B99E99,18550101,
cocheco,cocheco,,Cocheco,"Gauge 4' 8.5""; in Masachusetts, New Hampshire; observed 1840,1845,1850,1855,1861,1870",1405,824F5E,18400101,
columbus_and_xenia,columbus_and_xenia,,Columbus and Xenia,"Gauge 4' 10""; in Ohio; observed 1845,1850,1855,1861,1870",1405,89A682,18450101,
columbus_piqua_and_indiana,columbus_piqua_and_indiana,,"Columbus, Piqua and Indiana","Gauge 4' 10""; in Ohio; observed 1850,1855,1861,1870",1405,9C9640,18500101,
concord,concord,,Concord,"Gauge 4' 8.5""; in New Hampshire; observed 1850,1855,1861,1870",1405,5A4764,18500101,
concord_and_claremont,concord_and_claremont,,Concord and Claremont,"Gauge 4' 8.5""; in New Hampshire; observed 1850,1855,1861,1870",1405,6566CC,18500101,
concord_and_portsmouth,concord_and_portsmouth,,Concord and Portsmouth,"Gauge 4' 8.5""; in New Hampshire; observed 1850,1855,1861,1870",1405,82B69E,18500101,
connecticut_and_passumpsic_rivers,connecticut_and_passumpsic_rivers,,Connecticut and Passumpsic Rivers,"Gauge 4' 8.5""; in New Hampshire, Vermont; observed 1840,1845,1850,1855,1861,1870",1405,C77E8C,18400101,
connecticut_river,connecticut_river,,Connecticut River,"Gauge 4' 8.5""; in Masachusetts, Vermont; observed 1840,1845,1850,1855,1861,1870",1405,5E8862,18400101,
contoocook,contoocook,,Contoocook,"Gauge 4' 8.5""; in New Hampshire; observed 1855,1861,1870",1405,90746E,18550101,
corning_and_blossburg,corning_and_blossburg,,Corning and Blossburg,"Gauge 6' 0""; in New York, Pennsylvania; observed 1840,1845,1850,1855,1861,1870",1405,5145B4,18400101,
csx_transportation_incorporated,csx_transportation_incorporated,,"CSX Transportation, Incorporated","Gauge 4' 10""; in Masachusetts, New York, Pennsylvania; observed 1840,1845,1850,1855,1861,1870",1405,A84A70,18400101,
cumberland_and_pennsylvania,cumberland_and_pennsylvania,,Cumberland and Pennsylvania,"Gauge 4' 8.5""; in Maryland; observed 1855,1861,1870",1405,48CD50,18550101,
cumberland_valley,cumberland_valley,,Cumberland Valley,"Gauge 4' 8.5""; in Maryland, Pennsylvania; observed 1840,1845,1850,1855,1861,1870",1405,A194C7,18400101,
danbury_and_norwalk,danbury_and_norwalk,,Danbury and Norwalk,"Gauge 4' 8.5""; in Connecticut; observed 1840,1850,1855,1861,1870",1405,86C5B6,18400101,
danville_urbana_bloomington_and_pekin,danville_urbana_bloomington_and_pekin,,"Danville, Urbana, Bloomington and Pekin","Gauge 4' 8.5""; in Illinois; observed 1870",1405,7786C2,18700101,
dayton_and_michigan,dayton_and_michigan,,Dayton and Michigan,"Gauge 4' 10""; in Ohio; observed 1840,1845,1850,1855,1861,1870",1405,6AC64A,18400101,
dayton_xenia_and_belpre,dayton_xenia_and_belpre,,"Dayton, Xenia and Belpre","Gauge 4' 10""; in Ohio; observed 1855,1861,1870",1405,78B45A,18550101,
delaware,delaware,,Delaware,"Gauge 4' 8.5""; in Delaware; observed 1861,1870",1405,6A5A8B,18610101,
delaware_and_hudson,delaware_and_hudson,,Delaware and Hudson,"Gauge 4' 3""; in Pennsylvania; observed 1840,1845,1850,1855,1861,1870",1405,834665,18400101,
delaware_lackawanna_and_western,delaware_lackawanna_and_western,,"Delaware, Lackawanna and Western","Gauge 6' 0""; in New Jersey, Pennsylvania; observed 1850,1855,1861,1870",1405,A87C4E,18500101,
