route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,source_id
boston_and_lowell,rrmma_1840_1870,boston_and_lowell__c0,"Node (42.375,-71.083)",0,boston_and_lowell__c0,rrmma-lines
boston_and_maine,rrmma_1840_1870,boston_and_maine__c0,"Node (42.698,-71.162)",0,boston_and_maine__c0,rrmma-lines
boston_and_maine,rrmma_1840_1870,boston_and_maine__c1,"Node (42.627,-71.306)",0,boston_and_maine__c1,rrmma-lines
boston_and_maine,rrmma_1840_1870,boston_and_maine__c2,"Node (42.378,-71.078)",0,boston_and_maine__c2,rrmma-lines
fitchburg,rrmma_1840_1870,fitchburg__c0,"Node (42.477,-71.474)",0,fitchburg__c0,rrmma-lines
boston_and_worcester,rrmma_1840_1870,boston_and_worcester__c0,"Node (42.213,-71.719)",0,boston_and_worcester__c0,rrmma-lines
boston_and_providence,rrmma_1840_1870,boston_and_providence__c0,"Node (42.238,-71.133)",0,boston_and_providence__c0,rrmma-lines
rensselaer_and_saratoga,rrmma_1840_1870,rensselaer_and_saratoga__c0,"Node (43.097,-73.797)",0,rensselaer_and_saratoga__c0,rrmma-lines
new_york_central,rrmma_1840_1870,new_york_central__c0,"Node (43.151,-77.653)",0,new_york_central__c0,rrmma-lines
new_york_central,rrmma_1840_1870,new_york_central__c1,"Node (42.907,-78.717)",0,new_york_central__c1,rrmma-lines
norwich_and_worcester,rrmma_1840_1870,norwich_and_worcester__c0,"Node (42.260,-71.797)",0,norwich_and_worcester__c0,rrmma-lines
troy_and_greenbush,rrmma_1840_1870,troy_and_greenbush__c0,"Node (42.651,-73.739)",0,troy_and_greenbush__c0,rrmma-lines
troy_and_greenbush,rrmma_1840_1870,troy_and_greenbush__c1,"Node (42.670,-72.997)",0,troy_and_greenbush__c1,rrmma-lines
troy_and_greenbush,rrmma_1840_1870,troy_and_greenbush__c2,"Node (42.586,-72.602)",0,troy_and_greenbush__c2,rrmma-lines
new_bedford_and_taunton,rrmma_1840_1870,new_bedford_and_taunton__c0,"Node (41.665,-70.938)",0,new_bedford_and_taunton__c0,rrmma-lines
western,rrmma_1840_1870,western__c0,"Node (42.253,-71.808)",0,western__c0,rrmma-lines
providence_and_worcester,rrmma_1840_1870,providence_and_worcester__c0,"Node (41.895,-71.374)",0,providence_and_worcester__c0,rrmma-lines
providence_and_worcester,rrmma_1840_1870,providence_and_worcester__c1,"Node (41.740,-71.333)",0,providence_and_worcester__c1,rrmma-lines
hartford_providence_and_fishkill,rrmma_1840_1870,hartford_providence_and_fishkill__c0,"Node (41.806,-71.443)",0,hartford_providence_and_fishkill__c0,rrmma-lines
new_york_providence_and_boston,rrmma_1840_1870,new_york_providence_and_boston__c0,"Node (41.338,-71.938)",0,new_york_providence_and_boston__c0,rrmma-lines
new_york_providence_and_boston,rrmma_1840_1870,new_york_providence_and_boston__c1,"Node (41.362,-72.096)",0,new_york_providence_and_boston__c1,rrmma-lines
new_haven_hartford_and_springfield,rrmma_1840_1870,new_haven_hartford_and_springfield__c0,"Node (41.713,-72.739)",0,new_haven_hartford_and_springfield__c0,rrmma-lines
csx_transportation_incorporated,rrmma_1840_1870,csx_transportation_incorporated__c0,"Node (42.018,-70.981)",0,csx_transportation_incorporated__c0,rrmma-lines
csx_transportation_incorporated,rrmma_1840_1870,csx_transportation_incorporated__c1,"Node (43.123,-78.937)",0,csx_transportation_incorporated__c1,rrmma-lines
csx_transportation_incorporated,rrmma_1840_1870,csx_transportation_incorporated__c2,"Node (42.108,-80.113)",0,csx_transportation_incorporated__c2,rrmma-lines
new_york_and_new_haven,rrmma_1840_1870,new_york_and_new_haven__c0,"Node (40.754,-74.001)",0,new_york_and_new_haven__c0,rrmma-lines
new_york_and_erie,rrmma_1840_1870,new_york_and_erie__c0,"Node (41.108,-74.151)",0,new_york_and_erie__c0,rrmma-lines
new_york_and_erie,rrmma_1840_1870,new_york_and_erie__c1,"Node (41.456,-74.114)",0,new_york_and_erie__c1,rrmma-lines
flint_and_pere_marquette,rrmma_1840_1870,flint_and_pere_marquette__c0,"Node (43.068,-83.676)",0,flint_and_pere_marquette__c0,rrmma-lines
danbury_and_norwalk,rrmma_1840_1870,danbury_and_norwalk__c0,"Node (41.099,-73.419)",0,danbury_and_norwalk__c0,rrmma-lines
